SimID, TxID, Size, Value, ArrivalTime
1,1,307.0,3143.1326,202
1,2,304.0,3871.5767,414
1,3,282.0,3330.3374,654
1,4,274.0,4201.293,831
1,5,15.0,3733.1675,1025
1,6,12.0,4029.9683,1044
1,7,115.0,3956.1238,1149
1,8,249.0,4143.0483,1220
1,9,327.0,3275.9097,1319
1,10,342.0,3567.7173,1345
1,11,392.0,3228.1606,1349
1,12,258.0,2864.043,1552
1,13,358.0,4275.6255,1620
1,14,281.0,2414.587,1876
1,15,91.0,4291.7876,1989
1,16,228.0,4029.5793,2080
1,17,376.0,3808.0967,2338
1,18,336.0,3259.9192,2348
1,19,105.0,2713.455,2656
1,20,200.0,3197.4707,3051
1,21,323.0,3539.4202,3197
1,22,492.0,4630.235,3240
1,23,354.0,3825.4187,3459
1,24,102.0,3524.6023,4032
1,25,282.0,3651.7654,4057
1,26,281.0,3462.8286,4311
1,27,340.0,3404.0789,4444
1,28,374.0,3544.617,4502
1,29,116.0,3761.172,4961
1,30,240.0,3150.101,5118
1,31,347.0,4343.4907,5381
1,32,116.0,2793.1743,5555
1,33,278.0,3202.8706,5772
1,34,135.0,3212.1514,5921
1,35,472.0,3776.087,5937
1,36,293.0,3981.5146,5939
1,37,282.0,3552.192,6017
1,38,263.0,3504.796,6109
1,39,340.0,3340.085,6122
1,40,149.0,4024.2136,6276
1,41,107.0,3962.7349,6465
1,42,376.0,3503.7734,6666
1,43,193.0,3684.661,7170
1,44,136.0,3753.1948,7275
1,45,417.0,3986.8015,7745
1,46,127.0,3202.3518,7794
1,47,474.0,3692.4238,8436
1,48,135.0,3142.3337,8443
1,49,254.0,3623.6782,8573
1,50,272.0,3424.181,8633
1,51,336.0,3916.4783,8708
1,52,275.0,3773.7043,8712
1,53,237.0,3702.1885,8831
1,54,183.0,3106.3313,8833
1,55,257.0,3695.5215,8851
1,56,328.0,3709.815,8938
1,57,154.0,3536.938,9013
1,58,440.0,4319.9897,9075
1,59,289.0,4284.861,9176
1,60,171.0,3533.3613,9176
1,61,244.0,3965.4197,9236
1,62,307.0,4323.352,9343
1,63,268.0,3604.6445,9405
1,64,423.0,3961.378,9747
1,65,98.0,3670.607,9995
1,66,167.0,3929.3867,10051
1,67,223.0,3505.693,10091
1,68,147.0,3827.9468,10153
1,69,213.0,3948.6277,10450
1,70,179.0,4031.171,10820
1,71,441.0,3805.4622,11240
1,72,298.0,3532.7869,11304
1,73,160.0,3667.3442,11359
1,74,93.0,3547.603,11371
1,75,168.0,3944.8093,11743
1,76,164.0,3950.0962,11749
1,77,117.0,2954.143,12111
